Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2007-03-01,761.25,65.87,82.93,2.059,183.6,60.4,-0.4,105.3014019640326,2505.477031802121,0.3083937823834196,1.9824489795918363,1.4604895104895108
2007-04-01,728.5,65.71,81.45,2.0348,160.2,85.0,0.086,104.19210378663136,2605.6961130742056,0.2602072538860103,2.808469387755101,2.1907342657342657
2007-05-01,806.25,64.01,82.3,1.9205,106.3,109.5,0.192,102.77277447943216,2839.540636042403,0.2216580310880829,3.304081632653061,2.77493006993007
2007-06-01,850.0,70.68,81.92,1.929,80.4,116.3,-0.078,102.11083370062748,3073.385159010601,0.1927461139896373,2.907591836734694,2.9209790209790216
2007-07-01,834.0,78.21,80.77,1.882,67.4,102.7,0.151,102.25495499736884,3173.604240282686,0.212020725388601,2.478061224489796,2.482832167832168
2007-08-01,868.0,74.04,80.79,1.9681,77.8,97.9,0.145,101.2388951945717,3507.667844522969,0.2698445595854922,2.081571428571429,2.0446853146853146
2007-09-01,991.25,81.66,77.72,1.833,114.1,83.8,0.489,104.89765551678522,3741.512367491167,0.9637305699481864,1.718122448979592,1.6941678321678322
2007-10-01,1010.0,94.53,76.48,1.7368,157.8,70.8,0.061,103.31002574233462,3841.73144876325,0.8866321243523316,1.3877142857142857,1.37286013986014
2007-11-01,1080.0,88.71,76.15,1.7982,170.6,60.2,-0.088,104.68444776464165,3941.950530035336,0.7902590673575128,1.09034693877551,1.1099720279720282
2007-12-01,1199.0,95.98,76.69,1.78,194.0,42.6,-0.219,107.28978064806932,3674.699646643111,0.6746113989637303,0.9251428571428572,0.9347132867132868
2008-01-01,1274.5,91.75,75.18,1.7588,207.1,32.2,-0.738,106.76640855757654,2722.924028268552,0.2923056994818652,0.5941690962099127,0.6479580419580419
2008-02-01,1522.0,101.84,73.71,1.6914,196.6,37.0,-0.398,114.20202916616672,2614.0070671378094,0.2468359240069084,0.8318367346938775,0.7559510489510489
2008-03-01,1197.25,101.58,71.8,1.7564,183.6,60.4,-0.174,137.103665894683,2722.924028268552,0.2078618307426597,1.4260058309037902,1.07993006993007
2008-04-01,1301.75,113.46,72.51,1.6622,160.2,85.0,-0.12,140.9386864579944,2831.840989399294,0.1753834196891191,2.0201749271137026,1.619895104895105
2008-05-01,1363.5,127.35,72.88,1.6265,106.3,109.5,-0.178,140.04753514866766,3085.980565371025,0.1494006908462866,2.3766763848396506,2.051867132867133
2008-06-01,1605.0,140.0,72.46,1.6041,80.4,116.3,-0.691,144.3364328137228,3340.1201413427566,0.1299136442141623,2.0914752186588923,2.15986013986014
2008-07-01,1395.75,124.08,73.23,1.567,67.4,102.7,-0.652,149.35752193589542,3449.037102473498,0.1429050086355785,1.7825072886297375,1.835881118881119
2008-08-01,1332.0,115.46,77.38,1.63,77.8,97.9,-0.593,149.98734507269012,3812.0936395759727,0.1818791018998272,1.49730612244898,1.5119020979020978
2008-09-01,1045.0,100.64,79.45,1.9066,114.1,83.8,-0.736,170.71196460715504,4066.233215547704,0.6495682210708116,1.2358717201166185,1.252718881118881
2008-10-01,925.25,67.81,85.63,2.1642,157.8,70.8,-0.58,174.98568788741846,4175.150176678445,0.5976027633851467,0.9982040816326532,1.015134265734266
2008-11-01,883.0,54.43,86.52,2.3034,170.6,60.2,-0.244,174.06637372278948,4284.067137809187,0.5326459412780655,0.7843032069970846,0.8207468531468533
2008-12-01,972.25,44.6,81.15,2.3145,194.0,42.6,0.583,177.08580070815603,3993.621908127209,0.4546977547495681,0.6654693877551022,0.6911552447552448
2009-01-01,980.0,41.68,85.83,2.32,207.1,32.2,0.478,174.7355936024298,3335.1148409894,0.319119170984456,0.7580174927113703,0.8571608391608387
2009-02-01,874.5,44.76,88.17,2.3914,196.6,37.0,0.438,176.15484463609582,3201.710247349824,0.2694784110535406,1.0612244897959182,1.0000209790209786
2009-03-01,952.0,49.66,85.51,2.3169,183.6,60.4,0.277,176.27967904346758,3335.1148409894,0.2269291882556131,1.8192419825072883,1.4286013986013983
2009-04-01,1070.0,51.12,84.82,2.1898,160.2,85.0,-0.574,176.57355157848485,3468.5194346289763,0.1914715025906735,2.5772594752186584,2.1429020979020974
2009-05-01,1184.0,66.31,79.23,1.9715,106.3,109.5,-0.412,176.19330934455792,3779.7968197879854,0.1631053540587219,3.032069970845481,2.714342657342657
2009-06-01,1226.25,69.89,80.16,1.9525,80.4,116.3,-0.265,173.4056905404409,4091.074204946997,0.1418307426597582,2.6682215743440234,2.8572027972027967
2009-07-01,1134.0,69.45,78.35,1.865,67.4,102.7,0.8,177.26900232057207,4224.478798586573,0.156013816925734,2.2740524781341107,2.428622377622377
2009-08-01,1100.0,69.96,78.17,1.8802,77.8,97.9,0.483,178.06288791087005,4669.16077738516,0.1985630397236615,1.910204081632653,2.0000419580419573
2009-09-01,927.0,70.61,76.65,1.7715,114.1,83.8,0.459,183.41224325930853,4980.438162544171,0.709153713298791,1.57667638483965,1.6571776223776218
